id;name;type;ipadd;idx;site_code;area_code;location;city;description;tagline
84;KPPD Kulon Progo;KK;172.16.128.0/24;128;080;003;Komplek KPPD Kabupaten Kulon Progo, Jl. Wates-Jogja KM. 27, Wates;Kulon Progo;;samsat wates
85;KPPD Gunung Kidul;PP;;;081;002;Jl Ki Hajar Dewantara, Wonosari;Gunungkidul;;samsat wonosari
86;Panggang;KK;172.16.80.0/24;80;082;013;Panggang I, Giriharjo, Panggang;Gunungkidul;;
87;Beringharjo;KK;172.16.84.0/24;84;083;006; Pasar Beringharjo, Jl. Margo Mulyo No.16, Ngupasan, Gondomanan;Yogyakarta;;
88;Rongkop;KCP;172.16.87.0/24;87;084;002;Jl. Wonosari Pracimantoro, Baran Wetan, Semugih, Rongkop;Gunungkidul;;
89;Kasongan;KK;172.16.76.0/24;76;085;004;Jl. Kasongan, Karangpule, Kasihan;Bantul;;
90;KPP Wates;KK;172.16.88.0/24;88;086;003;Jl. Khuouri No. 53 , Wates;Kulon Progo;;kantor pelayanan pajak pratama wates
91;UKDW;KK;172.16.89.0/24;89;087;001;Kampus UKDW, Jl. Dr. Wahidin No 5-12;Yogyakarta;;universitas kristen duta wacana
92;KPP Yogyakarta;KK;172.16.91.0/24;91;088;006;Jl. P. Senopati No. 20,  Prawirodirjan, Gondomanan;Yogyakarta;;kpp senopati, kantor pelayanan pajak pratama yogyakarta
93;UGM;KK;172.16.83.0/24;83;089;001;Gedung Pusat Kompleks UGM, Bulaksumur;Yogyakarta;;
94;GKN;KK;172.16.92.0/24;92;090;006;Jl. Kusumanegara No.11, Semaki, Umbulharjo;Yogyakarta;;
95;Sidoarum;KK;172.16.95.0/24;95;091;043;Ruko Sidoarum No 2-3, Jl Godean KM. 6.5, Sidoarum, Godean ;Sleman;;
96;Tepus;KK;172.16.96.0/24;96;092;002;Bintaos RT. 02/RW. 02 Ds. Sidoharjo;Gunungkidul;;
97;Ngawen;KK;172.16.97.0/24;97;093;011;Kampung Kidul, Kampung Ngawen, Ngawen;Gunungkidul;;
98;Pandak;KK;172.16.100.0/24;100;094;032;Jl Raya Srandakan Jodog, Gilang Harjo, Pandak;Bantul;;
99;Pundong;KK;172.16.101.0/24;101;095;030;Ds. Srihardono, Pundong;Bantul;;
100;Lendah;KK;172.16.102.0/24;102;096;021;Jl. Ngentakrejo No.184, Kasihan I, Ngentakrejo, Lendah;Kulon Progo;;
101;Prambanan;KCP;172.16.21.0/24;21;097;005;Komplek Ruko Prambanan No. 7, Jl. Raya Piyungan-Prambanan, Ledoksari, Bokoharjo, Prambanan;Sleman;;
102;Bambanglipuro;KK;172.16.103.0/24;103;098;036;Plumbangan, Sumbermulyo, Bambanglipuro;Bantul;;
103;Kokap;KK;172.16.105.0/24;105;099;003;Ngaseman RT.26 / RW.07, Hargorejo, Kokap;Kulon Progo;;
104;Girisubo;KK;172.16.106.0/24;106;100;084;Desa Jerukwudel, Girisubo;Gunungkidul;;
105;Cangkringan;KK;172.16.107.0/24;107;101;041;Jetis RT. 01/RW. 35, Argomulyo, Cangkringan;Sleman;;
106;UIN;KK;172.16.108.0/24;108;102;001;Campus Student Center UIN Sunan Kalijaga, Jl. Marsda Adi Sucipto, Caturtunggal, Depok, Papringan;Sleman;;universitas islam negeri suka sunan kalijaga 
107;Samigaluh;KK;172.16.109.0/24;109;103;022;Jetis, Gerbosari, Samigaluh;Kulon Progo;;
108;Jetis;KK;172.16.110.0/24;110;104;030;Jl, Imogiri Barat KM. 7, Ds. Nogosari, Kepek, Sumberagung;Bantul;;
109;Panjatan;KK;172.16.111.0/24;111;105;024;Pedukuhan IV, Garongan, Panjatan;Kulon Progo;;
110;Samsat Pembantu Sleman;PP;;;106;005;Jl. Laksda Adisucipto KM. 10, Maguwoharjo, Depok;Sleman;;
111;Samsat Pembantu Bantul;KK;;;107;004;Jl. Parangtritis KM. 5, Sewon;Bantul;;
112;DPB;KK;172.16.13.0/24;13;108;004;Kompleks II Pemda Kab. Bantul, Jl. Gadjah Mada No. 1, Kurahan;Bantul;;dinas perizinan bantul
113;KPP Wonosari;KK;172.16.119.0/24;119;109;002;Jl. KH. Agus Salim No. 170 B, Kepek, Wonosari;Gunungkidul;;kpp pratama wonosari
114;DPPKA Pemprov DIY;PP;;;110;001;Gedung DPPKA, Kompleks Kepatihan, Jl. Marioboro, Danurejan;Yogyakarta;;
115;Ayodya Sardjito;PP;;;111;001;Paviliun Ayodya, Kompleks RSUP Dr. Sardjito, Jl. Kesehatan No. 1, Senolowo, Sinduadi, Mlati;Yogyakarta;;paviliun ayodya rsup dr. sardjito
116;Mikro Pasar Imogiri;PP;;;112;004;Komplek Pasar Imogiri, Jl. Imogiri Timur KM. 15, Imogiri;Bantul;;
117;Mikro Pasar Piyungan;PP;;;113;004;Komplek Pasar Piyungan, Jl. Wonosari KM. 14, Srimulyo, Piyungan;Bantul;;
118;Mikro Pasar Niten;PP;;;114;004;Komplek Pasar Niten, Jl. Bantul KM. 5, Tirtonirmolo, Kasihan;Bantul;;
119;Argosari;KK;172.16.118.0/24.;118;115;002;Komplek Pasar Argosari, Jl. Brigjen Katamso, Wonosari;Gunungkidul;;mikro makaryo pasar argosari
120;BATAN;PP;172.16.85.0/24;85;116;001;Komplek Kantor BATAN, Jl. Babarsari, Tambak Bayan, Caturtunggal, Depok;Sleman;;
121;Kas Mobil KC Wonosari;MOBILE;;;117;002;Jl. Brigjen Katamso No. 4, Wonosari;Gunungkidul;;
122;Kas Mobil KC Sleman;MOBILE;;;118;005;Jl. Magelang KM. 11, Tridadi;Sleman;;
123;Kas Mobil KC Utama;MOBILE;;;119;001;Jl. Tentara Pelajar No.7, Bumijo, Jetis;Yogyakarta;;
124;Kas Mobil KC Senopati;MOBILE;;;120;006;Jl. P. Senopati No. 5-7, Ngupasan, Gondomanan;Yogyakarta;;
125;Kas Mobil KC Bantul;MOBILE;;;121;004;Jl. Jend. Sudirman No. 2A;Bantul;;
126;Kas Mobil KC Wates;MOBILE;;;122;003;Jl. Stasiun No. 1, Wates;Kulon Progo;;
127;Dlingo;KK;172.16.114.0/24;114;123;029;Pancuran, Terong, Dlingo;Bantul;;
128;SD Al Azhar;PP;;;124;001;Jl. Ringroad Utara No.35A, RW.21, Pogung Lor, Sinduadi, Mlati;Sleman;;
129;Minggir;KK;172.16.115.0/24;115;125;043;Jl. Balangan-Kebonagung, Balangan, Sendangrejo, Minggir;Sleman;;
130;RSUD Prambanan;KK;172.16.130.0/24;130;126;040;Komplek RSUD Prambanan, Jl. Prambanan - Piyungan KM. 7, Prambanan;Sleman;;
131;AM Sangaji;KK;172.16.116.0/24;116;127;006;Kompleks Kampus STIENUS Yogakarta, Jl. AM. Sangaji No. 49-51, Cokrodiningratan, Jetis;Yogyakarta;;
132;Samsat Galeria;PP;;;128;006;Galeria Mall Lantai 3, Jl. Jendral Sudirman No.99-101, Terban, Gondokusuman;Yogyakarta;;samsat galeria mall
133;Taspen;KK;172.16.124.0/24;124;129;006;Kompleks Kantor PT. Taspen Cabang Yogyakarta, Jl. Ipda Tut Harasono No.55, Timoho ;Yogyakarta;;
134;Pajangan;KK;172.16.121.0/24;121;130;004;Jl. Raya Pajangan, Ds. Benyo, Sendangsari, Pajangan;Bantul;;
135;Pantirapih;KK;172.16.122.0/24;122;131;006;Komplek RS Panti Rapih, Jl. Cik Ditiro No. 30, Terban, Gondokusuman;Yogyakarta;;
136;Tugu Pensil;KK;172.16.126.0/24;126;134;023;Jl. Wates Km. 25, Karangan, Kedungsari, Pengasih;Kulon Progo;;tugu pensil brosot sentolo
137;Yap;KK;172.16.78.0/24;78;135;006;RS Mata Dr. Yap Yogyakarta, Jl. Cik Ditiro No. 5, Gondokusuman;Yogyakarta;;rs dr yap
138;UST;KK;172.16.129.0/24;129;141;001;Jl. Kusumanegara No. 157, Umbulharjo;Yogyakarta;;universitas sarjanawiyata tamansiswa
139;Akprind;KK;172.16.134.0/24;134;144;001;Jl. Kalisahak No.28, Klitren, Gondokusuman;Yogyakarta;;akademi perindustrian
140;UTY;KK;172.16.135.0/24;135;145;006;Jl. Ringroad Utara, Jombor, Sendangadi Mlati Sleman;Yogyakarta;;universitas teknologi yogyakarta
141;RS Pratama;KK;172.16.136.0/24;136;146;006;Jl. Kolonel Sugiono No 98, Karanganyar, Mergangsan, Yogyakarta;Yogyakarta;;rs pratama kota 
142;Samsat Dishub Sleman;PP;;;147;005;Drono, Tridadi;Sleman;;
143;Samsat Desa Banyurejo;PP;;;148;005;Kemusuh, Banyurejo, Tempel;Sleman;;
144;UUS;DIV;172.16.69.0/24;69;800;000;Jl. Cik Di Tiro No.34, Terban, Gondokusuman;Yogyakarta;;unit usaha syariah
145;Syariah;KC;172.16.69.0/24;69;801;801;Jl. Cik Di Tiro No.34, Terban, Gondokusuman;Yogyakarta;;utama syariah
146;AMC;KK;172.16.82.0/24;82;802;801;Gedung Asri Medical Center, Jl. HOS Cokroaminoto No 17, Wirobrajan;Yogyakarta;;
147;Krapyak;KK;172.16.93.0/24;93;803;801;Jl. D.I. Panjaitan No. 132, Krapyak;Yogyakarta;;
148;Kusumanegara;KK;172.16.94.0/24;94;804;801;Jl. Kusumanegara No 143, Muja Muju, Umbulharjo;Yogyakarta;;
149;Maguwoharjo Syariah;KK;172.16.31.0/24;31;805;801;Pasar Stan, Maguwoharjo, Depok;Sleman;;
150;UMY;KK;172.16.112.0/24;112;806;801;Jl. Ringroad Selatan(Brawijaya), Geblagan, Tamantirto, Kasihan;Bantul;;
151;Wonosari Syariah;KCP;172.16.117.0/24;117;807;801;Jl. Taman Bhakti, Wonosari;Gunungkidul;;
152;Godean Syariah;KCP;172.16.26.0/24;26;808;801;Jl. Godean, Sidoagung, Godean;Sleman;;
153;UII;KK;172.16.81.0/24;81;809;801;Kampus Terpadu UII, Jl. Kaliurang KM 14,5, Ngemplak;Sleman;;
154;UPTSA Wonosari Site 2;ATM;172.16.70.0/24;70;020;002;Komplek Setda Kab. Gunung Kidul, Jl. Brigjend Katamso No. 1, Wonosari;Gunungkidul;;
156;UAD;PP;172.16.113.0/24;113;;801;Jl. Kapas No.9, Semaki, Umbulharjo;Yogyakarta;;universitas ahmad dahlan
157;UAD5;PARTNER;172.16.120.0/24;120;;801;Jl. Ki Ageng Pemanahan No.19, Sorosutan, Umbulharjo;Yogyakarta;;universitas ahmad dahlan kampus 5
158;PASTY;KK;172.16.125.0/24;125;006;006;Jl. Bantul KM. 1, Dongkelan;Yogyakarta;;
159;Girimulyo;KK;172.16.133.0/24;133;;003;Dusun Gendu, RT 01 RW 04, Jatimulyo, Girimulyo;Kulon Progo;;
160;Pantirini;KK;172.16.132.0/24;132;;005;Komplek RS Panti Rini, Jl. Yogyakarta - Solo km 12,5, Kalasan;Sleman;;
161;Pasar Sentolo Baru;PP;;;;003;Jl. Wates-Yogyakarta, Klebakan, Salamrejo, Sentolo;Kulon Progo;;
162;Dipenda Sleman;PP;;;;005;Jl. Parasamya, Beran, Tridadi;Sleman;;
